,Country/Region,variable,value
588,US,3/20/20,20030
589,United Kingdom,3/20/20,7778
590,Australia,3/21/20,1071
591,Canada,3/21/20,2195
592,China,3/21/20,81305
593,Germany,3/21/20,16662
594,"Korea, South",3/21/20,8799
595,Malaysia,3/21/20,1183
596,Russia,3/21/20,306
597,Singapore,3/21/20,432
598,US,3/21/20,26025
599,United Kingdom,3/21/20,8975
600,Australia,3/22/20,1549
601,Canada,3/22/20,2652
602,China,3/22/20,81435
603,Germany,3/22/20,18610
604,"Korea, South",3/22/20,8961
605,Malaysia,3/22/20,1306
606,Russia,3/22/20,367
607,Singapore,3/22/20,455
608,US,3/22/20,34944
609,United Kingdom,3/22/20,10398
610,Australia,3/23/20,1682
611,Canada,3/23/20,3298
612,China,3/23/20,81493
613,Germany,3/23/20,22672
614,"Korea, South",3/23/20,8961
615,Malaysia,3/23/20,1518
616,Russia,3/23/20,438
617,Singapore,3/23/20,509
618,US,3/23/20,46096
619,United Kingdom,3/23/20,12747
620,Australia,3/24/20,2044
621,Canada,3/24/20,3997
622,China,3/24/20,81587
623,Germany,3/24/20,27436
624,"Korea, South",3/24/20,9037
625,Malaysia,3/24/20,1624
626,Russia,3/24/20,495
627,Singapore,3/24/20,558
628,US,3/24/20,56714
629,United Kingdom,3/24/20,15139
630,Australia,3/25/20,2364
631,Canada,3/25/20,4570
632,China,3/25/20,81658
633,Germany,3/25/20,31554
634,"Korea, South",3/25/20,9137
635,Malaysia,3/25/20,1796
636,Russia,3/25/20,658
637,Singapore,3/25/20,631
638,US,3/25/20,68841
639,United Kingdom,3/25/20,17847
640,Australia,3/26/20,2810
641,Canada,3/26/20,5511
642,China,3/26/20,81781
643,Germany,3/26/20,36508
644,"Korea, South",3/26/20,9241
645,Malaysia,3/26/20,2031
646,Russia,3/26/20,840
647,Singapore,3/26/20,683
648,US,3/26/20,86662
649,United Kingdom,3/26/20,20958
650,Australia,3/27/20,3143
651,Canada,3/27/20,6380
652,China,3/27/20,81872
653,Germany,3/27/20,42288
654,"Korea, South",3/27/20,9332
655,Malaysia,3/27/20,2161
656,Russia,3/27/20,1036
657,Singapore,3/27/20,732
658,US,3/27/20,105253
659,United Kingdom,3/27/20,24203
660,Australia,3/28/20,3640
661,Canada,3/28/20,7310
662,China,3/28/20,81964
663,Germany,3/28/20,48582
664,"Korea, South",3/28/20,9478
665,Malaysia,3/28/20,2320
666,Russia,3/28/20,1264
667,Singapore,3/28/20,802
668,US,3/28/20,127417
669,United Kingdom,3/28/20,27055
670,Australia,3/29/20,3984
671,Canada,3/29/20,8246
672,China,3/29/20,82058
673,Germany,3/29/20,52547
674,"Korea, South",3/29/20,9583
675,Malaysia,3/29/20,2470
676,Russia,3/29/20,1534
677,Singapore,3/29/20,844
678,US,3/29/20,143544
679,United Kingdom,3/29/20,29949
680,Australia,3/30/20,4361
681,Canada,3/30/20,9478
682,China,3/30/20,82139
683,Germany,3/30/20,57298
684,"Korea, South",3/30/20,9661
685,Malaysia,3/30/20,2626
686,Russia,3/30/20,1836
687,Singapore,3/30/20,879
688,US,3/30/20,165698
689,United Kingdom,3/30/20,34251
690,Australia,3/31/20,4559
691,Canada,3/31/20,10711
692,China,3/31/20,83786
693,Germany,3/31/20,61913
694,"Korea, South",3/31/20,9786
695,Malaysia,3/31/20,2766
696,Russia,3/31/20,2337
697,Singapore,3/31/20,926
698,US,3/31/20,192079
699,United Kingdom,3/31/20,38788
700,Australia,4/1/20,4862
701,Canada,4/1/20,12023
702,China,4/1/20,84002
703,Germany,4/1/20,67366
704,"Korea, South",4/1/20,9887
705,Malaysia,4/1/20,2908
706,Russia,4/1/20,2777
707,Singapore,4/1/20,1000
708,US,4/1/20,223259
709,United Kingdom,4/1/20,43755
710,Australia,4/2/20,5116
711,Canada,4/2/20,13742
712,China,4/2/20,84129
713,Germany,4/2/20,73522
714,"Korea, South",4/2/20,9976
715,Malaysia,4/2/20,3116
716,Russia,4/2/20,3548
717,Singapore,4/2/20,1049
718,US,4/2/20,255535
719,United Kingdom,4/2/20,48694
720,Australia,4/3/20,5330
721,Canada,4/3/20,15074
722,China,4/3/20,84265
